llapp-backend  | INFO:     172.18.0.1:58538 - "POST /api/v1/lesson-sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:58540 - "POST /api/v1/lesson-sessions/4bc69e27-a7ca-42a0-9986-450b4f296580/submissions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:58542 - "POST /api/v1/lesson-sessions/4bc69e27-a7ca-42a0-9986-450b4f296580/process HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:58548 - "GET /api/v1/lesson-sessions/4bc69e27-a7ca-42a0-9986-450b4f296580 HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:58552 - "GET /api/v1/mastery/profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:58564 - "GET /api/v1/operator/audit-events HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:58580 - "GET /api/v1/health HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:58590 - "POST /api/v1/identity/register HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:54408 - "POST /api/v1/learner-profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:54412 - "POST /api/v1/diagnostics/sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:54422 - "POST /api/v1/diagnostics/sessions/de7e3603-831d-4780-80da-9ebe5b569779/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:54436 - "POST /api/v1/diagnostics/sessions/de7e3603-831d-4780-80da-9ebe5b569779/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:54444 - "POST /api/v1/diagnostics/sessions/de7e3603-831d-4780-80da-9ebe5b569779/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:54448 - "POST /api/v1/diagnostics/sessions/de7e3603-831d-4780-80da-9ebe5b569779/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:54458 - "POST /api/v1/diagnostics/sessions/de7e3603-831d-4780-80da-9ebe5b569779/complete HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:54472 - "GET /api/v1/learning-contract/current HTTP/1.1" 404 Not Found
llapp-backend  | INFO:     172.18.0.1:54474 - "POST /api/v1/learning-contract/current HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:54490 - "GET /api/v1/mastery/profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:54506 - "POST /api/v1/lesson-sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:54508 - "POST /api/v1/lesson-sessions/d1431cff-e383-44fe-9ed2-b06e90adaea4/submissions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:54512 - "POST /api/v1/lesson-sessions/d1431cff-e383-44fe-9ed2-b06e90adaea4/process HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:54520 - "GET /api/v1/lesson-sessions/d1431cff-e383-44fe-9ed2-b06e90adaea4 HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:54534 - "GET /api/v1/mastery/profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:54550 - "GET /api/v1/operator/audit-events HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:54552 - "GET /api/v1/health HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:54556 - "POST /api/v1/identity/register HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:54564 - "POST /api/v1/learner-profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:54576 - "POST /api/v1/diagnostics/sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:54590 - "POST /api/v1/diagnostics/sessions/80da2eee-0198-468c-aef5-70f731e50a7e/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:54606 - "POST /api/v1/diagnostics/sessions/80da2eee-0198-468c-aef5-70f731e50a7e/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:54622 - "POST /api/v1/diagnostics/sessions/80da2eee-0198-468c-aef5-70f731e50a7e/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:54634 - "POST /api/v1/diagnostics/sessions/80da2eee-0198-468c-aef5-70f731e50a7e/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:44560 - "POST /api/v1/diagnostics/sessions/80da2eee-0198-468c-aef5-70f731e50a7e/complete HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:44562 - "GET /api/v1/learning-contract/current HTTP/1.1" 404 Not Found
llapp-backend  | INFO:     172.18.0.1:44572 - "POST /api/v1/learning-contract/current HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:44574 - "GET /api/v1/mastery/profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:44590 - "POST /api/v1/lesson-sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:44592 - "POST /api/v1/lesson-sessions/3f80a975-2663-4613-ae31-c743827bc835/submissions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:44604 - "POST /api/v1/lesson-sessions/3f80a975-2663-4613-ae31-c743827bc835/process HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:44612 - "GET /api/v1/lesson-sessions/3f80a975-2663-4613-ae31-c743827bc835 HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:44620 - "GET /api/v1/mastery/profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:44624 - "GET /api/v1/operator/audit-events HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:44626 - "GET /api/v1/health HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:44636 - "POST /api/v1/identity/register HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:44650 - "POST /api/v1/learner-profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:44660 - "POST /api/v1/diagnostics/sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:44662 - "POST /api/v1/diagnostics/sessions/5b7d5e9a-a490-4a5a-8584-250d7c672cd5/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:44676 - "POST /api/v1/diagnostics/sessions/5b7d5e9a-a490-4a5a-8584-250d7c672cd5/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:44690 - "POST /api/v1/diagnostics/sessions/5b7d5e9a-a490-4a5a-8584-250d7c672cd5/responses HTTP/1.1" 200 OK
