llapp-backend  | INFO:     172.18.0.1:45970 - "POST /api/v1/diagnostics/sessions/7879b2c1-a4e0-4bfc-83a7-963fedde17aa/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:45976 - "POST /api/v1/diagnostics/sessions/7879b2c1-a4e0-4bfc-83a7-963fedde17aa/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:45988 - "POST /api/v1/diagnostics/sessions/7879b2c1-a4e0-4bfc-83a7-963fedde17aa/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:46002 - "POST /api/v1/diagnostics/sessions/7879b2c1-a4e0-4bfc-83a7-963fedde17aa/responses HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:46010 - "POST /api/v1/diagnostics/sessions/7879b2c1-a4e0-4bfc-83a7-963fedde17aa/complete HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:46016 - "POST /api/v1/learning-contract/current HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:46020 - "POST /api/v1/lesson-sessions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:46028 - "POST /api/v1/lesson-sessions/885b7436-f05a-43ab-9bfb-0a3429ec3d45/submissions HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:46044 - "POST /api/v1/lesson-sessions/885b7436-f05a-43ab-9bfb-0a3429ec3d45/process HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:46060 - "GET /api/v1/lesson-sessions/885b7436-f05a-43ab-9bfb-0a3429ec3d45 HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:46064 - "GET /api/v1/mastery/profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:46066 - "GET /api/v1/operator/audit-events HTTP/1.1" 403 Forbidden
llapp-backend  | INFO:     172.18.0.1:46076 - "GET /api/v1/health HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:46086 - "POST /api/v1/identity/register HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:46102 - "POST /api/v1/learner-profile HTTP/1.1" 200 OK
llapp-backend  | INFO:     172.18.0.1:46104 - "POST /api/v1/diagnostics/sessions HTTP/1.1" 200 OK
